sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgTRAPPC3_4,Susa,R2,T6,TRAPPC3,No,-2.0955585954616,+,0.00170068027210884,0,0.862398986440214
sgNVL_2,Hbe,R2,T6,NVL,No,-2.09389988596312,+,0.0289115646258503,0,0.959497557412227
sgBUD31_6,Hbe,R2,T6,BUD31,No,-2.09230254345819,+,0.0306122448979592,0,0.959497557412227
sgIMP4_1,Hbe,R2,T6,IMP4,No,-2.09112163212432,+,0.032312925170068,0,0.959497557412227
sgATP6V0C_3,Hbe,R2,T6,ATP6V0C,No,-2.08900382686612,+,0.0340136054421769,0,0.959497557412227
sgXAB2_1,Susa,R1,T6,XAB2,No,-2.08854087081419,+,0.00510204081632653,0,0.935257156553897
sgIMP4_1,Hbe,R2,T3,IMP4,No,-2.08615915366325,+,0.00850340136054422,0,0.910426083184952
sgPCNA_4,Hbe,R1,T4,PCNA,No,-2.08610369815801,+,0.00340136054421769,0.00167785234899329,0.955950668858147
sgALG1_6,Hbe,R1,T5,ALG1,No,-2.08558612292291,+,0.00850340136054422,0,0.948229123864311
sgPSMB3_4,Hbe,R2,T4,PSMB3,No,-2.08533062453966,+,0.0170068027210884,0,0.946659704150116
sgPCNA_1,Susa,R1,T6,PCNA,No,-2.08512847349278,+,0.00680272108843537,0,0.935257156553897
sgATP6V0C_3,Hbe,R2,T3,ATP6V0C,No,-2.08457910533323,+,0.0102040816326531,0,0.910426083184952
sgPSMB3_1,Hbe,R2,T6,PSMB3,No,-2.08440197335123,+,0.0357142857142857,0,0.959497557412227
sgEXOSC7_4,Susa,R1,T6,EXOSC7,No,-2.08418731657703,+,0.00850340136054422,0,0.935257156553897
sgZPR1_6,Hbe,R2,T6,ZPR1,No,-2.08178521310941,+,0.0374149659863946,0,0.959497557412227
sgSNRPD2_4,Hbe,R2,T6,SNRPD2,No,-2.0810443827719,+,0.0391156462585034,0,0.959497557412227
sgPSMB3_1,Hbe,R2,T5,PSMB3,No,-2.08080597428201,+,0.00340136054421769,0,0.954238574624481
sgACTL6A_2,Hbe,R2,T4,ACTL6A,No,-2.077517228683,+,0.0187074829931973,0,0.946659704150116
sgSNRPD2_3,Hbe,R1,T5,SNRPD2,No,-2.07622347494762,+,0.0102040816326531,0,0.948229123864311
sgSNRPD2_3,Susa,R1,T3,SNRPD2,No,-2.07508463999598,+,0.00340136054421769,0,0.877981897456969
sgUBL5_2,Hbe,R1,T4,UBL5,No,-2.07271269943239,+,0.00510204081632653,0.00167785234899329,0.955950668858147
sgPSMB3_5,Hbe,R1,T6,PSMB3,No,-2.07232886312509,+,0.0119047619047619,0.00167785234899329,0.940955576861617
sgXPO1_3,Hbe,R1,T6,XPO1,No,-2.0648733157249,+,0.0136054421768707,0.00167785234899329,0.940955576861617
sgUSP39_6,Hbe,R2,T3,USP39,No,-2.06483366718541,+,0.0119047619047619,0,0.910426083184952
sgEXOSC7_3,Hbe,R1,T6,EXOSC7,No,-2.06418483756672,+,0.0153061224489796,0.00167785234899329,0.940955576861617
sgATP6V0C_1,Hbe,R2,T3,ATP6V0C,No,-2.06210589554357,+,0.0136054421768707,0,0.910426083184952
sgATP6V0C_1,Susa,R1,T6,ATP6V0C,No,-2.06199276967488,+,0.0102040816326531,0,0.935257156553897
sgUSP39_2,Hbe,R2,T6,USP39,No,-2.06129221726447,+,0.0408163265306122,0,0.959497557412227
sgUTP23_3,Hbe,R2,T6,UTP23,No,-2.06060467819157,+,0.0425170068027211,0,0.959497557412227
sgZPR1_4,Hbe,R2,T4,ZPR1,No,-2.05896563328078,+,0.0204081632653061,0,0.946659704150116
sgSNRPD2_1,Hbe,R2,T3,SNRPD2,No,-2.05761387504238,+,0.0153061224489796,0,0.910426083184952
sgUSP39_2,Hbe,R2,T4,USP39,No,-2.05754780812294,+,0.022108843537415,0,0.946659704150116
sgPCNA_3,Hbe,R1,T6,PCNA,No,-2.05486756724128,+,0.0170068027210884,0.00167785234899329,0.940955576861617
sgUTP23_5,Hbe,R2,T6,UTP23,No,-2.05314959280116,+,0.0442176870748299,0,0.959497557412227
sgPSMB3_5,Susa,R1,T5,PSMB3,No,-2.05256990762795,+,0.00510204081632653,0,0.94936481303931
sgACTL6A_2,Hbe,R2,T6,ACTL6A,No,-2.05094303850684,+,0.0459183673469388,0,0.959497557412227
sgIMP4_3,Hbe,R2,T5,IMP4,No,-2.05047934036997,+,0.00510204081632653,0,0.954238574624481
sgRUVBL2_3,Hbe,R2,T3,RUVBL2,No,-2.05046395392635,+,0.0170068027210884,0,0.910426083184952
sgTRMT112_3,Hbe,R2,T5,TRMT112,No,-2.04799907996789,+,0.00680272108843537,0,0.954238574624481
