sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgPSMB3_5,Hbe,R2,T6,PSMB3,No,-1.69387090406884,+,0.29421768707483,0,0.959497557412227
sgVPS25_6,Hbe,R2,T4,VPS25,No,-1.69321716881035,+,0.139455782312925,0,0.946659704150116
sgUTP23_1,Hbe,R2,T4,UTP23,No,-1.69316291486616,+,0.141156462585034,0,0.946659704150116
sgRUVBL2_6,Hbe,R2,T4,RUVBL2,No,-1.69308845867185,+,0.142857142857143,0,0.946659704150116
sgWDR74_2,Hbe,R1,T4,WDR74,No,-1.69254786302307,+,0.0850340136054422,0.00167785234899329,0.955950668858147
sgCDC16_4,Hbe,R1,T4,CDC16,No,-1.69253356013064,+,0.086734693877551,0.00167785234899329,0.955950668858147
sgRUVBL2_3,Hbe,R1,T3,RUVBL2,No,-1.69173708616719,+,0.0425170068027211,0,0.922673263936447
sgXAB2_5,Hbe,R2,T6,XAB2,No,-1.69101468403144,+,0.295918367346939,0,0.959497557412227
sgIMP4_5,Hbe,R2,T3,IMP4,No,-1.69067203175612,+,0.0782312925170068,0,0.910426083184952
sgCTDP1_4,Susa,R2,T3,CTDP1,No,-1.69058125564401,+,0.00170068027210884,0,0.804724238688764
sgCDC16_5,Hbe,R2,T6,CDC16,No,-1.68935476080026,+,0.297619047619048,0,0.959497557412227
sgNSF_6,Susa,R1,T4,NSF,No,-1.68921470106793,+,0.022108843537415,0,0.941529128429895
sgUBL5_2,Hbe,R2,T3,UBL5,No,-1.68920665683565,+,0.0799319727891157,0,0.910426083184952
sgUSP39_4,Hbe,R2,T3,USP39,No,-1.68882334598048,+,0.0816326530612245,0,0.910426083184952
sgEXOSC7_2,Hbe,R2,T6,EXOSC7,No,-1.68856469988835,+,0.299319727891156,0,0.959497557412227
sgATP6V0C_6,Susa,R1,T2,ATP6V0C,No,-1.68853400994773,+,0.00510204081632653,0,0.720084006757065
sgNDC80_3,Susa,R1,T3,NDC80,No,-1.68822154041702,+,0.0340136054421769,0,0.877981897456969
sgNSF_3,Hbe,R1,T6,NSF,No,-1.68714940886975,+,0.119047619047619,0.00167785234899329,0.940955576861617
sgPES1_3,Hbe,R2,T4,PES1,No,-1.68681904557813,+,0.144557823129252,0,0.946659704150116
sgGFM1_5,Susa,R2,T5,GFM1,No,-1.68584248510702,+,0.0238095238095238,0,0.881129297356526
sgTRAPPC3_5,Hbe,R1,T4,TRAPPC3,No,-1.68579563120939,+,0.0884353741496599,0.00167785234899329,0.955950668858147
sgXPO1_6,Susa,R1,T6,XPO1,No,-1.68559683744571,+,0.127551020408163,0,0.935257156553897
sgDDX20_4,Hbe,R2,T5,DDX20,No,-1.68556528432944,+,0.153061224489796,0,0.954238574624481
sgCDC16_6,Hbe,R2,T6,CDC16,No,-1.68544803202033,+,0.301020408163265,0,0.959497557412227
sgZPR1_5,Hbe,R2,T3,ZPR1,No,-1.68503604837189,+,0.0833333333333333,0,0.910426083184952
sgWDR12_6,Susa,R1,T6,WDR12,No,-1.68436754128561,+,0.129251700680272,0,0.935257156553897
sgALG1_4,Hbe,R1,T5,ALG1,No,-1.68419933529789,+,0.134353741496599,0.00167785234899329,0.948229123864311
sgUSP39_5,Hbe,R2,T6,USP39,No,-1.68393330443107,+,0.302721088435374,0,0.959497557412227
sgWDR61_2,Hbe,R1,T4,WDR61,No,-1.68323916034124,+,0.0901360544217687,0.00167785234899329,0.955950668858147
sgWDR74_6,Hbe,R2,T5,WDR74,No,-1.68320335266566,+,0.154761904761905,0,0.954238574624481
sgCDC16_4,Hbe,R1,T2,CDC16,No,-1.68286850758502,+,0.00510204081632653,0,0.764732570880701
sgALG1_4,Hbe,R2,T5,ALG1,No,-1.6818488792136,+,0.156462585034014,0,0.954238574624481
sgIMP4_6,Hbe,R2,T4,IMP4,No,-1.68163030555589,+,0.146258503401361,0,0.946659704150116
sgPSMB3_4,Hbe,R1,T4,PSMB3,No,-1.68119644434267,+,0.0918367346938776,0.00167785234899329,0.955950668858147
sgPCNA_6,Hbe,R1,T6,PCNA,No,-1.68087597335504,+,0.120748299319728,0.00167785234899329,0.940955576861617
sgRUVBL2_6,Hbe,R2,T3,RUVBL2,No,-1.67996737316886,+,0.0850340136054422,0,0.910426083184952
sgUTP23_1,Hbe,R2,T5,UTP23,No,-1.6793996998229,+,0.158163265306122,0,0.954238574624481
sgCTDP1_6,Hbe,R2,T4,CTDP1,No,-1.67877926976657,+,0.147959183673469,0,0.946659704150116
sgBUD31_3,Hbe,R1,T5,BUD31,No,-1.67806877110647,+,0.136054421768707,0.00167785234899329,0.948229123864311
sgATP6V0C_3,Susa,R2,T5,ATP6V0C,No,-1.67793296664115,+,0.0255102040816327,0,0.881129297356526
sgXPO1_1,Susa,R1,T4,XPO1,No,-1.6778487514279,+,0.0238095238095238,0,0.941529128429895
sgXPO1_1,Susa,R1,T3,XPO1,No,-1.67716318733616,+,0.0357142857142857,0,0.877981897456969
sgPSMB3_6,Hbe,R1,T4,PSMB3,No,-1.67675203216084,+,0.0935374149659864,0.00167785234899329,0.955950668858147
sgATP6V0C_3,Susa,R1,T6,ATP6V0C,No,-1.67609729560034,+,0.130952380952381,0,0.935257156553897
sgSNRPD2_2,Susa,R1,T5,SNRPD2,No,-1.67551193296532,+,0.076530612244898,0,0.94936481303931
sgPOLR3H_1,Hbe,R1,T4,POLR3H,No,-1.6750436042428,+,0.0952380952380952,0.00167785234899329,0.955950668858147
sgXPO1_3,Hbe,R2,T6,XPO1,No,-1.67486946711153,+,0.304421768707483,0,0.959497557412227
sgACTL6A_2,Susa,R1,T5,ACTL6A,No,-1.67465793975284,+,0.0782312925170068,0,0.94936481303931
sgWDR74_2,Hbe,R2,T5,WDR74,No,-1.67415792566639,+,0.159863945578231,0,0.954238574624481
sgATR_1,Susa,R2,T6,ATR,No,-1.67379648112432,+,0.0408163265306122,0,0.862398986440214
sgTRRAP_3,Hbe,R2,T6,TRRAP,No,-1.67372670649394,+,0.306122448979592,0,0.959497557412227
sgWDR12_4,Hbe,R1,T5,WDR12,No,-1.67355833252315,+,0.137755102040816,0.00167785234899329,0.948229123864311
sgEXOSC7_5,Hbe,R2,T5,EXOSC7,No,-1.67353301210453,+,0.16156462585034,0,0.954238574624481
sgACTL6A_3,Hbe,R2,T4,ACTL6A,No,-1.67337542324213,+,0.149659863945578,0,0.946659704150116
sgMCM2_5,Susa,R1,T4,MCM2,No,-1.67331312263029,+,0.0255102040816327,0,0.941529128429895
sgC9orf114_3,Susa,R1,T4,C9orf114,No,-1.67320817112152,+,0.0272108843537415,0,0.941529128429895
sgCDK7_1,Susa,R1,T4,CDK7,No,-1.67281638357694,+,0.0289115646258503,0,0.941529128429895
sgIARS2_2,Hbe,R2,T4,IARS2,No,-1.67248332763197,+,0.151360544217687,0,0.946659704150116
sgYARS2_3,Susa,R2,T6,YARS2,No,-1.67121613025332,+,0.0425170068027211,0,0.862398986440214
sgTOP1_5,Hbe,R2,T6,TOP1,No,-1.67095710588084,+,0.307823129251701,0,0.959497557412227
sgVPS25_6,Hbe,R2,T3,VPS25,No,-1.67070946516043,+,0.086734693877551,0,0.910426083184952
sgPSMB3_5,Susa,R1,T4,PSMB3,No,-1.67066778777399,+,0.0306122448979592,0,0.941529128429895
sgRUVBL2_3,Hbe,R1,T5,RUVBL2,No,-1.66945126625561,+,0.139455782312925,0.00167785234899329,0.948229123864311
sgCTDP1_2,Susa,R2,T5,CTDP1,No,-1.66891799526491,+,0.0272108843537415,0,0.881129297356526
sgNSF_1,Hbe,R1,T6,NSF,No,-1.66802649086828,+,0.122448979591837,0.00167785234899329,0.940955576861617
sgCDK7_6,Susa,R2,T5,CDK7,No,-1.66767986713317,+,0.0289115646258503,0,0.881129297356526
sgRUVBL2_5,Hbe,R2,T5,RUVBL2,No,-1.66720424605906,+,0.163265306122449,0,0.954238574624481
sgATP6V0C_2,Susa,R1,T6,ATP6V0C,No,-1.66611680946855,+,0.13265306122449,0,0.935257156553897
sgPSMB3_6,Hbe,R2,T6,PSMB3,No,-1.66574579343199,+,0.30952380952381,0,0.959497557412227
sgRUVBL2_3,Hbe,R1,T4,RUVBL2,No,-1.66479798004285,+,0.0969387755102041,0.00167785234899329,0.955950668858147
sgC9orf114_6,Hbe,R2,T6,C9orf114,No,-1.6646161870949,+,0.311224489795918,0,0.959497557412227
sgWDR74_2,Hbe,R2,T3,WDR74,No,-1.66458680834977,+,0.0884353741496599,0,0.910426083184952
sgPOLR3H_3,Hbe,R1,T4,POLR3H,No,-1.66400766778543,+,0.0986394557823129,0.00167785234899329,0.955950668858147
sgTOP1_5,Hbe,R1,T6,TOP1,No,-1.66366521178888,+,0.124149659863946,0.00167785234899329,0.940955576861617
sgWDR74_2,Susa,R2,T5,WDR74,No,-1.66360165888774,+,0.0306122448979592,0,0.881129297356526
sgTRRAP_2,Susa,R2,T6,TRRAP,No,-1.66354545253363,+,0.0442176870748299,0,0.862398986440214
sgEXOSC7_2,Hbe,R1,T5,EXOSC7,No,-1.66349360461053,+,0.141156462585034,0.00167785234899329,0.948229123864311
sgNSF_3,Hbe,R2,T5,NSF,No,-1.66239900902372,+,0.164965986394558,0,0.954238574624481
sgSNRPD2_5,Hbe,R2,T5,SNRPD2,No,-1.65986441004958,+,0.166666666666667,0,0.954238574624481
sgAARS_2,Susa,R1,T6,AARS,No,-1.65964183939654,+,0.134353741496599,0,0.935257156553897
sgGUK1_5,Hbe,R2,T6,GUK1,No,-1.65905975949968,+,0.312925170068027,0,0.959497557412227
sgIMP4_1,Susa,R2,T5,IMP4,No,-1.65788116144087,+,0.032312925170068,0,0.881129297356526
sgUBL5_2,Susa,R2,T3,UBL5,No,-1.65747690435327,+,0.00340136054421769,0,0.804724238688764
sgTRMT112_1,Susa,R1,T6,TRMT112,No,-1.6572442844416,+,0.136054421768707,0,0.935257156553897
sgPSMB3_3,Hbe,R2,T5,PSMB3,No,-1.65715328387799,+,0.168367346938776,0,0.954238574624481
sgTRMT112_5,Hbe,R2,T6,TRMT112,No,-1.65685386943276,+,0.314625850340136,0,0.959497557412227
sgRFC5_5,Hbe,R2,T4,RFC5,No,-1.65679719402686,+,0.153061224489796,0,0.946659704150116
sgPES1_3,Hbe,R2,T6,PES1,No,-1.65516560134672,+,0.316326530612245,0,0.959497557412227
sgTOP1_5,Hbe,R2,T5,TOP1,No,-1.65307263421072,+,0.170068027210884,0,0.954238574624481
sgPSMB3_3,Hbe,R1,T6,PSMB3,No,-1.65220675321383,+,0.125850340136054,0.00167785234899329,0.940955576861617
sgRUVBL2_2,Hbe,R2,T6,RUVBL2,No,-1.65164119155189,+,0.318027210884354,0,0.959497557412227
sgWDR74_4,Susa,R2,T6,WDR74,No,-1.65157465915156,+,0.0459183673469388,0,0.862398986440214
sgAARS_1,Hbe,R2,T6,AARS,No,-1.65106393701245,+,0.319727891156463,0,0.959497557412227
sgUBL5_2,Hbe,R1,T3,UBL5,No,-1.64958142252499,+,0.0442176870748299,0,0.922673263936447
sgUBL5_2,Hbe,R2,T5,UBL5,No,-1.64865123159126,+,0.171768707482993,0,0.954238574624481
sgCTDP1_6,Susa,R1,T5,CTDP1,No,-1.64859922366796,+,0.0799319727891157,0,0.94936481303931
sgUBL5_1,Hbe,R1,T4,UBL5,No,-1.64856733701761,+,0.100340136054422,0.00167785234899329,0.955950668858147
sgTRAPPC1_3,Susa,R2,T3,TRAPPC1,No,-1.64814353710752,+,0.00510204081632653,0,0.804724238688764
sgGAPDH_1,Susa,R2,T6,GAPDH,No,-1.64783565032217,+,0.0476190476190476,0,0.862398986440214
sgSNRPD2_2,Hbe,R2,T3,SNRPD2,No,-1.64732581006088,+,0.0901360544217687,0,0.910426083184952
sgSNRPD2_4,Susa,R1,T6,SNRPD2,No,-1.64706351304654,+,0.137755102040816,0,0.935257156553897
sgXAB2_5,Hbe,R2,T4,XAB2,No,-1.64675654713045,+,0.154761904761905,0,0.946659704150116
sgGAPDH_2,Susa,R2,T5,GAPDH,No,-1.64667886419968,+,0.0340136054421769,0,0.881129297356526
sgACTL6A_2,Susa,R2,T6,ACTL6A,No,-1.64611425980948,+,0.0493197278911565,0,0.862398986440214
sgXAB2_3,Hbe,R1,T2,XAB2,No,-1.64608898603859,+,0.00680272108843537,0,0.764732570880701
sgNUF2_2,Hbe,R1,T5,NUF2,No,-1.64545939122599,+,0.142857142857143,0.00167785234899329,0.948229123864311
sgUBL5_2,Hbe,R1,T3,UBL5,No,-1.6450984665078,+,0.0459183673469388,0,0.922673263936447
sgNSF_5,Hbe,R1,T6,NSF,No,-1.6450747825209,+,0.127551020408163,0.00167785234899329,0.940955576861617
sgRFC5_5,Hbe,R1,T5,RFC5,No,-1.64327792570099,+,0.144557823129252,0.00167785234899329,0.948229123864311
sgVPS25_4,Susa,R2,T5,VPS25,No,-1.64281279383219,+,0.0357142857142857,0,0.881129297356526
sgBUD31_4,Hbe,R1,T4,BUD31,No,-1.64209555232978,+,0.102040816326531,0.00167785234899329,0.955950668858147
sgXAB2_1,Hbe,R2,T4,XAB2,No,-1.64197891671361,+,0.156462585034014,0,0.946659704150116
sgNUF2_2,Hbe,R1,T6,NUF2,No,-1.6418431904241,+,0.129251700680272,0.00167785234899329,0.940955576861617
sgPSMB3_2,Hbe,R2,T3,PSMB3,No,-1.64131429431784,+,0.0918367346938776,0,0.910426083184952
sgRFC5_4,Hbe,R2,T3,RFC5,No,-1.64033397660964,+,0.0935374149659864,0,0.910426083184952
sgGUK1_4,Susa,R2,T6,GUK1,No,-1.64003628202719,+,0.0510204081632653,0,0.862398986440214
sgBUD31_1,Hbe,R2,T5,BUD31,No,-1.6398058605879,+,0.173469387755102,0,0.954238574624481
sgDDX20_4,Susa,R2,T5,DDX20,No,-1.63930528706326,+,0.0374149659863946,0,0.881129297356526
sgXPO1_1,Hbe,R1,T5,XPO1,No,-1.63806867762942,+,0.146258503401361,0.00167785234899329,0.948229123864311
sgUTP23_6,Susa,R1,T6,UTP23,No,-1.63767912341298,+,0.139455782312925,0,0.935257156553897
sgIMP4_3,Susa,R2,T6,IMP4,No,-1.63755837189902,+,0.0527210884353742,0,0.862398986440214
sgIMP4_1,Hbe,R1,T6,IMP4,No,-1.63732014795988,+,0.130952380952381,0.00167785234899329,0.940955576861617
sgCDC16_5,Hbe,R2,T5,CDC16,No,-1.63700183088818,+,0.175170068027211,0,0.954238574624481
sgNDC80_3,Susa,R1,T5,NDC80,No,-1.63684297590255,+,0.0816326530612245,0,0.94936481303931
sgTOP1_4,Hbe,R2,T5,TOP1,No,-1.63620225325196,+,0.17687074829932,0,0.954238574624481
sgGUK1_5,Hbe,R1,T4,GUK1,No,-1.63556189365063,+,0.103741496598639,0.00167785234899329,0.955950668858147
sgGAPDH_6,Hbe,R2,T6,GAPDH,No,-1.63550515308609,+,0.321428571428571,0,0.959497557412227
sgTOP1_5,Hbe,R2,T4,TOP1,No,-1.63532812969181,+,0.158163265306122,0,0.946659704150116
sgPSMB3_5,Hbe,R2,T5,PSMB3,No,-1.63511825593156,+,0.178571428571429,0,0.954238574624481
sgALG1_4,Hbe,R1,T6,ALG1,No,-1.63487433812029,+,0.13265306122449,0.00167785234899329,0.940955576861617
sgNUF2_2,Susa,R1,T4,NUF2,No,-1.63476176947524,+,0.032312925170068,0,0.941529128429895
sgSNRPD2_3,Susa,R1,T4,SNRPD2,No,-1.63438984587835,+,0.0340136054421769,0,0.941529128429895
sgWDR74_3,Hbe,R2,T6,WDR74,No,-1.6342836395731,+,0.32312925170068,0,0.959497557412227
sgYARS2_6,Susa,R2,T6,YARS2,No,-1.63402769860442,+,0.054421768707483,0,0.862398986440214
sgATP6V0C_6,Hbe,R1,T4,ATP6V0C,No,-1.63399203990372,+,0.105442176870748,0.00167785234899329,0.955950668858147
sgSNRPD2_2,Hbe,R1,T3,SNRPD2,No,-1.6338766066963,+,0.0476190476190476,0,0.922673263936447
sgWDR74_4,Susa,R2,T5,WDR74,No,-1.63289795486997,+,0.0391156462585034,0,0.881129297356526
sgATP6V0C_3,Susa,R1,T5,ATP6V0C,No,-1.63282745287299,+,0.0833333333333333,0,0.94936481303931
sgXPO1_6,Hbe,R2,T6,XPO1,No,-1.63205332567514,+,0.324829931972789,0,0.959497557412227
sgCDK7_1,Hbe,R1,T4,CDK7,No,-1.63174322839179,+,0.107142857142857,0.00167785234899329,0.955950668858147
sgXPO1_1,Hbe,R1,T3,XPO1,No,-1.63105432782882,+,0.0493197278911565,0,0.922673263936447
sgTRRAP_2,Susa,R1,T6,TRRAP,No,-1.63102303614682,+,0.141156462585034,0,0.935257156553897
sgPSMB3_6,Hbe,R1,T4,PSMB3,No,-1.63063485850519,+,0.108843537414966,0.00167785234899329,0.955950668858147
sgPES1_3,Hbe,R2,T5,PES1,No,-1.63054132988981,+,0.180272108843537,0,0.954238574624481
sgSNRPD2_3,Susa,R2,T5,SNRPD2,No,-1.63028809531391,+,0.0408163265306122,0,0.881129297356526
sgIARS2_3,Susa,R1,T6,IARS2,No,-1.6298111757668,+,0.142857142857143,0,0.935257156553897
sgNVL_5,Hbe,R2,T6,NVL,No,-1.62970065262489,+,0.326530612244898,0,0.959497557412227
sgCDK7_1,Hbe,R2,T5,CDK7,No,-1.62953045605866,+,0.181972789115646,0,0.954238574624481
sgTRAPPC3_5,Susa,R1,T3,TRAPPC3,No,-1.62928568718189,+,0.0374149659863946,0,0.877981897456969
sgIARS2_2,Hbe,R1,T6,IARS2,No,-1.62912977962756,+,0.134353741496599,0.00167785234899329,0.940955576861617
sgXAB2_5,Susa,R1,T6,XAB2,No,-1.62903031111312,+,0.144557823129252,0,0.935257156553897
sgIARS2_6,Hbe,R1,T5,IARS2,No,-1.62849953903878,+,0.147959183673469,0.00167785234899329,0.948229123864311
sgSNRPD2_6,Susa,R2,T5,SNRPD2,No,-1.62832378700705,+,0.0425170068027211,0,0.881129297356526
sgUSP39_3,Hbe,R2,T5,USP39,No,-1.6283143498657,+,0.183673469387755,0,0.954238574624481
sgPCNA_6,Susa,R1,T4,PCNA,No,-1.62829015103105,+,0.0357142857142857,0,0.941529128429895
sgCDK7_2,Susa,R2,T6,CDK7,No,-1.62818322200634,+,0.0561224489795918,0,0.862398986440214
sgXAB2_4,Hbe,R1,T5,XAB2,No,-1.62774118041243,+,0.149659863945578,0.00167785234899329,0.948229123864311
sgCDC16_5,Hbe,R2,T3,CDC16,No,-1.62743071357155,+,0.0952380952380952,0,0.910426083184952
sgACTL6A_5,Susa,R2,T5,ACTL6A,No,-1.6273825144966,+,0.0442176870748299,0,0.881129297356526
sgDDX20_1,Susa,R2,T6,DDX20,No,-1.62716399645789,+,0.0578231292517007,0,0.862398986440214
sgUTP23_2,Susa,R2,T6,UTP23,No,-1.62710917571853,+,0.0595238095238095,0,0.862398986440214
sgCDK7_1,Susa,R1,T6,CDK7,No,-1.62636767286226,+,0.146258503401361,0,0.935257156553897
sgXAB2_2,Susa,R1,T6,XAB2,No,-1.62632639852734,+,0.147959183673469,0,0.935257156553897
sgUBL5_6,Susa,R1,T4,UBL5,No,-1.62612252422693,+,0.0374149659863946,0,0.941529128429895
sgUTP23_6,Hbe,R2,T4,UTP23,No,-1.62609859506077,+,0.159863945578231,0,0.946659704150116
sgCDK7_1,Susa,R1,T5,CDK7,No,-1.62595616709536,+,0.0850340136054422,0,0.94936481303931
sgC9orf114_3,Hbe,R2,T4,C9orf114,No,-1.62532952571287,+,0.16156462585034,0,0.946659704150116
sgTOP1_4,Hbe,R2,T6,TOP1,No,-1.62527936875661,+,0.328231292517007,0,0.959497557412227
sgXPO1_2,Hbe,R1,T4,XPO1,No,-1.62502402328707,+,0.110544217687075,0.00167785234899329,0.955950668858147
sgSNRPD2_1,Hbe,R1,T4,SNRPD2,No,-1.62465336215374,+,0.112244897959184,0.00167785234899329,0.955950668858147
sgXAB2_4,Hbe,R2,T5,XAB2,No,-1.62463643493605,+,0.185374149659864,0,0.954238574624481
sgXPO1_6,Hbe,R2,T3,XPO1,No,-1.62442762413666,+,0.0969387755102041,0,0.910426083184952
sgMCM2_6,Susa,R1,T6,MCM2,No,-1.62394245874083,+,0.149659863945578,0,0.935257156553897
sgWDR74_4,Hbe,R2,T5,WDR74,No,-1.62340649108626,+,0.187074829931973,0,0.954238574624481
sgMRPS34_4,Susa,R2,T6,MRPS34,No,-1.62335726859253,+,0.0612244897959184,0,0.862398986440214
sgCDC16_6,Susa,R2,T5,CDC16,No,-1.62278261891696,+,0.0459183673469388,0,0.881129297356526
sgACTL6A_5,Susa,R2,T6,ACTL6A,No,-1.62239885863237,+,0.0629251700680272,0,0.862398986440214
sgXAB2_2,Hbe,R1,T5,XAB2,No,-1.62233783942023,+,0.151360544217687,0.00167785234899329,0.948229123864311
sgAARS_6,Hbe,R2,T3,AARS,No,-1.62220850234492,+,0.0986394557823129,0,0.910426083184952
sgUSP39_5,Hbe,R2,T3,USP39,No,-1.62200925720236,+,0.100340136054422,0,0.910426083184952
sgATP6V0C_5,Hbe,R1,T5,ATP6V0C,No,-1.62171262871925,+,0.153061224489796,0.00167785234899329,0.948229123864311
sgIMP4_3,Susa,R2,T5,IMP4,No,-1.62136499688141,+,0.0476190476190476,0,0.881129297356526
sgTRAPPC1_6,Susa,R1,T5,TRAPPC1,No,-1.62028449426739,+,0.086734693877551,0,0.94936481303931
sgPSMB3_2,Hbe,R2,T3,PSMB3,No,-1.62021635627483,+,0.102040816326531,0,0.910426083184952
sgTRAPPC3_2,Susa,R1,T6,TRAPPC3,No,-1.62020332242015,+,0.151360544217687,0,0.935257156553897
sgSNRPD2_6,Susa,R2,T3,SNRPD2,No,-1.61968497595725,+,0.00680272108843537,0,0.804724238688764
sgEXOSC7_3,Hbe,R1,T4,EXOSC7,No,-1.61958181327318,+,0.113945578231293,0.00167785234899329,0.955950668858147
sgC9orf16_5,Susa,R1,T5,C9orf16,No,-1.61937014540652,-,0.086734693877551,0.00167785234899329,0.94936481303931
sgVPS25_6,Hbe,R1,T6,VPS25,No,-1.61852260260914,+,0.136054421768707,0.00167785234899329,0.940955576861617
sgTRRAP_3,Hbe,R2,T6,TRRAP,No,-1.61831536909675,+,0.329931972789116,0,0.959497557412227
sgCDC16_6,Susa,R2,T3,CDC16,No,-1.61829297628756,+,0.00850340136054422,0,0.804724238688764
sgCTDP1_4,Hbe,R1,T5,CTDP1,No,-1.61825567993809,+,0.154761904761905,0.00167785234899329,0.948229123864311
sgPES1_6,Hbe,R2,T6,PES1,No,-1.61822551971191,+,0.331632653061224,0,0.959497557412227
sgUBL5_6,Susa,R1,T6,UBL5,No,-1.61820669843596,+,0.153061224489796,0,0.935257156553897
sgC9orf114_4,Hbe,R1,T5,C9orf114,No,-1.61751294102804,+,0.156462585034014,0.00167785234899329,0.948229123864311
sgUSP39_3,Hbe,R2,T6,USP39,No,-1.61739146537036,+,0.333333333333333,0,0.959497557412227
sgEIF2B1_3,Hbe,R1,T5,EIF2B1,No,-1.61737216657891,+,0.158163265306122,0.00167785234899329,0.948229123864311
sgZPR1_6,Hbe,R2,T6,ZPR1,No,-1.61699524803946,+,0.335034013605442,0,0.959497557412227
sgPCNA_1,Susa,R1,T4,PCNA,No,-1.61648572497954,+,0.0391156462585034,0,0.941529128429895
sgIMP4_3,Hbe,R2,T4,IMP4,No,-1.61608370404529,+,0.163265306122449,0,0.946659704150116
sgCDK7_5,Hbe,R1,T6,CDK7,No,-1.61558381260088,+,0.137755102040816,0.00167785234899329,0.940955576861617
sgWDR74_2,Hbe,R2,T6,WDR74,No,-1.61526802736829,+,0.336734693877551,0,0.959497557412227
sgC9orf16_5,Hbe,R2,T4,C9orf16,No,-1.61496005690417,-,0.163265306122449,0.00167785234899329,0.946659704150116
sgPSMB3_5,Hbe,R2,T3,PSMB3,No,-1.61454166916855,+,0.103741496598639,0,0.910426083184952
sgSNRPD2_2,Hbe,R2,T4,SNRPD2,No,-1.6144836217994,+,0.164965986394558,0.00167785234899329,0.946659704150116
sgRUVBL2_5,Hbe,R2,T6,RUVBL2,No,-1.61429065355802,+,0.33843537414966,0,0.959497557412227
sgPCNA_1,Hbe,R1,T3,PCNA,No,-1.61418090607027,+,0.0510204081632653,0,0.922673263936447
sgPES1_4,Susa,R1,T5,PES1,No,-1.61374805578571,+,0.0884353741496599,0.00167785234899329,0.94936481303931
sgXAB2_3,Hbe,R1,T4,XAB2,No,-1.61358575386957,+,0.115646258503401,0.00167785234899329,0.955950668858147
sgWDR61_2,Hbe,R1,T5,WDR61,No,-1.61320588901133,+,0.159863945578231,0.00167785234899329,0.948229123864311
sgUSP39_2,Hbe,R1,T5,USP39,No,-1.61210644502142,+,0.16156462585034,0.00167785234899329,0.948229123864311
sgCDK7_2,Hbe,R2,T3,CDK7,No,-1.61208101842322,+,0.105442176870748,0,0.910426083184952
sgCTDP1_4,Hbe,R1,T4,CTDP1,No,-1.61150935848039,+,0.11734693877551,0.00167785234899329,0.955950668858147
sgWDR12_4,Susa,R1,T6,WDR12,No,-1.61129840885972,+,0.154761904761905,0,0.935257156553897
sgPOLR3H_1,Hbe,R1,T5,POLR3H,No,-1.6112655413124,+,0.163265306122449,0.00167785234899329,0.948229123864311
sgTRMT112_1,Hbe,R2,T3,TRMT112,No,-1.61125052714503,+,0.107142857142857,0,0.910426083184952
sgNVL_3,Hbe,R2,T5,NVL,No,-1.61113851911136,+,0.188775510204082,0,0.954238574624481
sgTOP1_5,Hbe,R1,T4,TOP1,No,-1.61079231946031,+,0.119047619047619,0.00167785234899329,0.955950668858147
sgDDX20_6,Hbe,R1,T6,DDX20,No,-1.61062101159872,+,0.139455782312925,0.00167785234899329,0.940955576861617
sgNUF2_4,Hbe,R1,T6,NUF2,No,-1.61032985509916,+,0.141156462585034,0.00167785234899329,0.940955576861617
sgNVL_5,Hbe,R2,T4,NVL,No,-1.61009366373912,+,0.166666666666667,0.00167785234899329,0.946659704150116
sgATP6V0C_6,Susa,R1,T4,ATP6V0C,No,-1.60958756923933,+,0.0408163265306122,0,0.941529128429895
sgNVL_3,Hbe,R1,T5,NVL,No,-1.60919779610974,+,0.164965986394558,0.00167785234899329,0.948229123864311
sgACTL6A_2,Susa,R1,T6,ACTL6A,No,-1.60906014779585,+,0.156462585034014,0,0.935257156553897
sgGAPDH_6,Hbe,R2,T5,GAPDH,No,-1.60882368804228,+,0.19047619047619,0,0.954238574624481
sgUTP23_6,Hbe,R1,T5,UTP23,No,-1.60846673601125,+,0.166666666666667,0.00167785234899329,0.948229123864311
sgUSP39_3,Hbe,R2,T4,USP39,No,-1.60705420159608,+,0.168367346938776,0.00167785234899329,0.946659704150116
sgRFC5_2,Hbe,R2,T6,RFC5,No,-1.60612756991159,+,0.340136054421769,0,0.959497557412227
sgWDR12_2,Hbe,R2,T4,WDR12,No,-1.60587709464462,+,0.170068027210884,0.00167785234899329,0.946659704150116
sgPCNA_4,Hbe,R1,T5,PCNA,No,-1.60580791968891,+,0.168367346938776,0.00167785234899329,0.948229123864311
sgIPO13_2,Susa,R2,T6,IPO13,No,-1.60469200244117,+,0.0646258503401361,0,0.862398986440214
sgTRRAP_5,Hbe,R2,T6,TRRAP,No,-1.60461360032003,+,0.341836734693878,0,0.959497557412227
sgAARS_3,Susa,R1,T6,AARS,No,-1.60443509852748,+,0.158163265306122,0,0.935257156553897
sgVPS25_6,Hbe,R1,T5,VPS25,No,-1.60426223313822,+,0.170068027210884,0.00167785234899329,0.948229123864311
sgLAS1L_1,Susa,R1,T6,LAS1L,No,-1.60239638334706,+,0.159863945578231,0,0.935257156553897
sgIMP4_2,Susa,R2,T6,IMP4,No,-1.60185090465976,+,0.0663265306122449,0,0.862398986440214
sgNSF_5,Hbe,R1,T4,NSF,No,-1.60184948014342,+,0.120748299319728,0.00167785234899329,0.955950668858147
